$WITHDRAWAL AT SEG84                                         ELEV OF WITHDRAWAL CENTERLINE:278.     

JDAY,     TDS,    Gen1,    Gen2,    Gen3,    Gen4,    Gen5,    ISS2,     PO4,     NH4,     NO3,    LDOM,    RDOM,    LPOM,    RPOM,    ALG1,      DO,     TIC,     ALK,  LDOM-P,  RDOM-P,  LPOM-P,  RPOM-P,  LDOM-N,  RDOM-N,  LPOM-N,  RPOM-N,
  4384.002,   57.0000,    0.0000,    0.0000,    0.0000,    6.0600,    0.0000,    7.7000,    0.0480,    0.0500,    0.1270,    2.8890,    2.8890,    0.8690,    0.8690,    0.1000,    5.6400,    5.1300,   16.5050,    0.0059,    0.0059,    0.0017,    0.0017,    0.3245,    0.3245,    0.0735,    0.0735,
  4384.100,   57.0000,    0.0972,    0.0000,    0.0000,    6.0600,    0.0000,    7.6785,    0.0480,    0.0518,    0.1276,    2.8705,    2.8914,    0.8644,    0.8678,    0.0986,    5.6095,    5.1408,   16.5050,    0.0059,    0.0059,    0.0017,    0.0017,    0.3224,    0.3248,    0.0730,    0.0734,
  4384.202,   57.0000,    0.1995,    0.0000,    0.0000,    6.0600,    0.0000,    7.6554,    0.0481,    0.0536,    0.1282,    2.8512,    2.8940,    0.8600,    0.8665,    0.0972,    5.5773,    5.1514,   16.5050,    0.0058,    0.0059,    0.0017,    0.0017,    0.3202,    0.3251,    0.0726,    0.0733,
  4384.301,   57.0000,    0.2991,    0.0000,    0.0000,    6.0600,    0.0000,    7.6336,    0.0481,    0.0554,    0.1288,    2.8326,    2.8964,    0.8558,    0.8652,    0.0958,    5.5460,    5.1616,   16.5050,    0.0058,    0.0059,    0.0017,    0.0017,    0.3181,    0.3253,    0.0721,    0.0732,
  4384.400,   57.0000,    0.3983,    0.0000,    0.0000,    6.0600,    0.0000,    7.4945,    0.0481,    0.0560,    0.1294,    2.8142,    2.8988,    0.8444,    0.8573,    0.1032,    5.5626,    5.1536,   16.5050,    0.0057,    0.0059,    0.0016,    0.0017,    0.3160,    0.3256,    0.0711,    0.0725,
  4384.502,   57.0000,    0.4999,    0.0000,    0.0000,    6.0600,    0.0000,    7.2742,    0.0481,    0.0558,    0.1300,    2.7955,    2.9013,    0.8285,    0.8448,    0.1177,    5.6194,    5.1300,   16.5050,    0.0057,    0.0059,    0.0016,    0.0016,    0.3139,    0.3259,    0.0697,    0.0714,
  4384.601,   57.0000,    0.5995,    0.0000,    0.0000,    6.0600,    0.0000,    7.1573,    0.0480,    0.0555,    0.1306,    2.7773,    2.9037,    0.8188,    0.8381,    0.1305,    5.7013,    5.0944,   16.5050,    0.0057,    0.0059,    0.0016,    0.0016,    0.3119,    0.3262,    0.0688,    0.0709,
  4384.701,   57.0000,    0.6986,    0.0000,    0.0000,    6.0600,    0.0000,    7.1805,    0.0480,    0.0572,    0.1313,    2.7595,    2.9061,    0.8164,    0.8394,    0.1323,    5.7259,    5.0791,   16.5050,    0.0056,    0.0059,    0.0016,    0.0016,    0.3098,    0.3264,    0.0686,    0.0710,
  4384.800,   57.0000,    0.7995,    0.0000,    0.0000,    6.0600,    0.0000,    7.0462,    0.0481,    0.0587,    0.1320,    2.7415,    2.9085,    0.8056,    0.8316,    0.1326,    5.7458,    5.0669,   16.5050,    0.0056,    0.0059,    0.0016,    0.0016,    0.3078,    0.3267,    0.0676,    0.0703,
  4384.902,   57.0000,    0.9001,    0.0000,    0.0000,    6.0600,    0.0000,    6.9370,    0.0481,    0.0607,    0.1327,    2.7233,    2.9109,    0.7963,    0.8252,    0.1262,    5.7020,    5.0816,   16.5050,    0.0056,    0.0059,    0.0016,    0.0016,    0.3057,    0.3270,    0.0668,    0.0698,
  4385.000,   57.0000,    1.0001,    0.0000,    0.0000,    6.0600,    0.0000,    6.8579,    0.0482,    0.0628,    0.1334,    2.7053,    2.9132,    0.7885,    0.8205,    0.1203,    5.6550,    5.0976,   16.5050,    0.0055,    0.0059,    0.0015,    0.0016,    0.3037,    0.3272,    0.0661,    0.0694,
  4385.102,   57.0000,    1.0998,    0.0000,    0.0000,    6.0600,    0.0000,    6.7588,    0.0483,    0.0645,    0.1341,    2.6872,    2.9155,    0.7793,    0.8146,    0.1180,    5.6375,    5.1004,   16.5050,    0.0055,    0.0059,    0.0015,    0.0016,    0.3017,    0.3275,    0.0653,    0.0689,
  4385.200,   57.0000,    1.1986,    0.0000,    0.0000,    6.0600,    0.0000,    6.7158,    0.0484,    0.0663,    0.1349,    2.6693,    2.9178,    0.7738,    0.8124,    0.1138,    5.5944,    5.1148,   16.5050,    0.0055,    0.0059,    0.0015,    0.0016,    0.2997,    0.3277,    0.0648,    0.0687,
  4385.302,   57.0000,    1.2997,    0.0000,    0.0000,    6.0600,    0.0000,    6.7384,    0.0484,    0.0683,    0.1358,    2.6513,    2.9201,    0.7715,    0.8137,    0.1073,    5.5311,    5.1374,   16.5050,    0.0054,    0.0060,    0.0015,    0.0016,    0.2976,    0.3280,    0.0646,    0.0688,
  4385.400,   57.0000,    1.3985,    0.0000,    0.0000,    6.0600,    0.0000,    6.7432,    0.0484,    0.0689,    0.1366,    2.6342,    2.9224,    0.7681,    0.8138,    0.1125,    5.5075,    5.1460,   16.5050,    0.0054,    0.0060,    0.0015,    0.0016,    0.2957,    0.3282,    0.0642,    0.0688,
  4385.501,   57.0000,    1.4992,    0.0000,    0.0000,    6.0600,    0.0000,    6.5652,    0.0483,    0.0682,    0.1373,    2.6168,    2.9246,    0.7549,    0.8030,    0.1296,    5.5768,    5.1170,   16.5050,    0.0054,    0.0060,    0.0015,    0.0016,    0.2937,    0.3285,    0.0631,    0.0679,
  4385.602,   57.0000,    1.5997,    0.0000,    0.0000,    6.0600,    0.0000,    6.5401,    0.0483,    0.0680,    0.1380,    2.5995,    2.9269,    0.7501,    0.8016,    0.1448,    5.6718,    5.0738,   16.5050,    0.0053,    0.0060,    0.0015,    0.0016,    0.2918,    0.3288,    0.0627,    0.0678,
  4385.701,   57.0000,    1.6993,    0.0000,    0.0000,    6.0600,    0.0000,    6.6634,    0.0483,    0.0691,    0.1389,    2.5826,    2.9291,    0.7538,    0.8089,    0.1457,    5.6575,    5.0771,   16.5050,    0.0053,    0.0060,    0.0015,    0.0016,    0.2898,    0.3290,    0.0630,    0.0684,
  4385.803,   57.0000,    1.8004,    0.0000,    0.0000,    6.0600,    0.0000,    6.4723,    0.0483,    0.0697,    0.1396,    2.5658,    2.9314,    0.7405,    0.7974,    0.1523,    5.7065,    5.0553,   16.5050,    0.0053,    0.0060,    0.0015,    0.0016,    0.2879,    0.3293,    0.0618,    0.0674,
  4385.903,   57.0000,    1.9011,    0.0000,    0.0000,    6.0600,    0.0000,    6.3953,    0.0484,    0.0715,    0.1405,    2.5488,    2.9336,    0.7334,    0.7928,    0.1455,    5.6383,    5.0793,   16.5050,    0.0052,    0.0060,    0.0015,    0.0015,    0.2860,    0.3295,    0.0612,    0.0671,
  4386.000,   57.0000,    1.9993,    0.0000,    0.0000,    6.0600,    0.0000,    6.2851,    0.0484,    0.0730,    0.1413,    2.5323,    2.9357,    0.7244,    0.7861,    0.1418,    5.6146,    5.0849,   16.5050,    0.0052,    0.0060,    0.0014,    0.0015,    0.2841,    0.3297,    0.0604,    0.0665,
  4386.102,   57.0000,    2.1009,    0.0000,    0.0000,    6.0600,    0.0000,    6.2428,    0.0485,    0.0748,    0.1422,    2.5151,    2.9379,    0.7189,    0.7835,    0.1357,    5.5623,    5.1020,   16.5050,    0.0052,    0.0060,    0.0014,    0.0015,    0.2822,    0.3300,    0.0599,    0.0663,
  4386.200,   57.0000,    2.1997,    0.0000,    0.0000,    6.0600,    0.0000,    6.1569,    0.0486,    0.0763,    0.1431,    2.4986,    2.9400,    0.7111,    0.7781,    0.1313,    5.5376,    5.1087,   16.5050,    0.0051,    0.0060,    0.0014,    0.0015,    0.2803,    0.3302,    0.0592,    0.0658,
  4386.300,   57.0000,    2.2991,    0.0000,    0.0000,    6.0600,    0.0000,    6.2249,    0.0487,    0.0780,    0.1440,    2.4821,    2.9421,    0.7122,    0.7829,    0.1240,    5.4538,    5.1389,   16.5050,    0.0051,    0.0060,    0.0014,    0.0015,    0.2785,    0.3305,    0.0593,    0.0662,
  4386.402,   57.0000,    2.3998,    0.0000,    0.0000,    6.0600,    0.0000,    5.8820,    0.0486,    0.0769,    0.1448,    2.4661,    2.9443,    0.6901,    0.7608,    0.1431,    5.5844,    5.0854,   16.5050,    0.0051,    0.0060,    0.0014,    0.0015,    0.2767,    0.3307,    0.0574,    0.0644,
  4386.501,   57.0000,    2.4994,    0.0000,    0.0000,    6.0600,    0.0000,    5.7034,    0.0484,    0.0752,    0.1456,    2.4502,    2.9463,    0.6778,    0.7491,    0.1653,    5.6625,    5.0561,   16.5050,    0.0050,    0.0060,    0.0014,    0.0015,    0.2749,    0.3309,    0.0563,    0.0634,
  4386.602,   57.0000,    2.5989,    0.0000,    0.0000,    6.0600,    0.0000,    5.4441,    0.0482,    0.0728,    0.1463,    2.4345,    2.9484,    0.6611,    0.7319,    0.1951,    5.8270,    4.9900,   16.5050,    0.0050,    0.0060,    0.0013,    0.0014,    0.2731,    0.3312,    0.0548,    0.0619,
  4386.701,   57.0000,    2.6989,    0.0000,    0.0000,    6.0600,    0.0000,    5.2900,    0.0481,    0.0714,    0.1471,    2.4187,    2.9505,    0.6496,    0.7218,    0.2241,    5.9487,    4.9370,   16.5050,    0.0050,    0.0060,    0.0013,    0.0014,    0.2713,    0.3314,    0.0539,    0.0610,
  4386.803,   57.0000,    2.8008,    0.0000,    0.0000,    6.0600,    0.0000,    5.1676,    0.0481,    0.0716,    0.1479,    2.4032,    2.9526,    0.6412,    0.7136,    0.2321,    5.9798,    4.9222,   16.5050,    0.0049,    0.0060,    0.0013,    0.0014,    0.2695,    0.3316,    0.0531,    0.0604,
  4386.901,   57.0000,    2.8992,    0.0000,    0.0000,    6.0600,    0.0000,    5.0778,    0.0481,    0.0730,    0.1487,    2.3876,    2.9546,    0.6343,    0.7075,    0.2262,    5.9593,    4.9276,   16.5050,    0.0049,    0.0060,    0.0013,    0.0014,    0.2677,    0.3319,    0.0525,    0.0598,
  4387.000,   57.0001,    2.9990,    0.0000,    0.0000,    6.0600,    0.0000,    5.0409,    0.0482,    0.0749,    0.1496,    2.3720,    2.9566,    0.6302,    0.7053,    0.2165,    5.9055,    4.9459,   16.5051,    0.0049,    0.0060,    0.0013,    0.0014,    0.2660,    0.3321,    0.0522,    0.0597,
  4387.101,   57.0001,    3.1000,    0.0000,    0.0000,    6.0600,    0.0000,    5.1059,    0.0484,    0.0774,    0.1506,    2.3562,    2.9586,    0.6322,    0.7107,    0.2007,    5.7893,    4.9894,   16.5051,    0.0048,    0.0060,    0.0013,    0.0014,    0.2642,    0.3323,    0.0523,    0.0601,
  4387.202,   57.0001,    3.2003,    0.0000,    0.0000,    6.0600,    0.0000,    5.3506,    0.0486,    0.0806,    0.1518,    2.3407,    2.9606,    0.6452,    0.7290,    0.1779,    5.5892,    5.0660,   16.5051,    0.0048,    0.0060,    0.0013,    0.0014,    0.2624,    0.3325,    0.0534,    0.0617,
  4387.301,   57.0001,    3.2982,    0.0000,    0.0000,    6.0600,    0.0000,    5.4074,    0.0486,    0.0822,    0.1528,    2.3258,    2.9625,    0.6466,    0.7327,    0.1698,    5.5234,    5.0906,   16.5051,    0.0048,    0.0060,    0.0013,    0.0014,    0.2607,    0.3328,    0.0534,    0.0620,
  4387.402,   57.0001,    3.4006,    0.0000,    0.0000,    6.0600,    0.0000,    5.2250,    0.0485,    0.0808,    0.1536,    2.3108,    2.9646,    0.6348,    0.7200,    0.1886,    5.6009,    5.0605,   16.5051,    0.0048,    0.0060,    0.0013,    0.0014,    0.2590,    0.3330,    0.0523,    0.0609,
  4387.500,   57.0000,    3.4990,    0.0000,    0.0000,    6.0600,    0.0000,    4.9985,    0.0483,    0.0778,    0.1544,    2.2966,    2.9665,    0.6209,    0.7039,    0.2221,    5.7485,    5.0040,   16.5050,    0.0047,    0.0060,    0.0013,    0.0014,    0.2574,    0.3332,    0.0510,    0.0595,
