Derived constituent file for segment 64

JDAY,     DOC,     TOC,     TKN,      TN,      TP,     APR,    CHLA,     %DO,      pH,     CO2,    HCO3,     CO3,
  4384.002,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   70.7647,    0.0000,    0.0000,    0.0000,    0.0000,
  4384.100,    2.7083,    3.5670,    0.8533,    0.9809,    0.0637,   -0.0078,    0.9868,   70.3449,    6.8700,    1.1654,    3.9714,    0.0015,
  4384.202,    2.7004,    3.5565,    0.8527,    0.9809,    0.0637,   -0.0077,    0.9727,   69.9052,    6.8600,    1.1892,    3.9598,    0.0015,
  4384.301,    2.6927,    3.5459,    0.8520,    0.9808,    0.0637,   -0.0076,    0.9591,   69.4882,    6.8600,    1.1911,    3.9660,    0.0015,
  4384.400,    2.6851,    3.5359,    0.8513,    0.9807,    0.0637,    0.0215,    0.9535,   69.1121,    6.8600,    1.1937,    3.9745,    0.0015,
  4384.502,    2.6775,    3.5261,    0.8505,    0.9806,    0.0637,    0.0279,    0.9592,   68.7896,    6.8513,    1.2142,    3.9633,    0.0015,
  4384.601,    2.6701,    3.5170,    0.8499,    0.9807,    0.0637,    0.0270,    0.9475,   68.3141,    6.8512,    1.2163,    3.9694,    0.0015,
  4384.701,    2.6626,    3.5069,    0.8495,    0.9809,    0.0637,   -0.0046,    0.9092,   67.7622,    6.8500,    1.2233,    3.9802,    0.0015,
  4384.800,    2.6551,    3.4971,    0.8488,    0.9810,    0.0637,   -0.0071,    0.8957,   67.3243,    6.8401,    1.2475,    3.9673,    0.0014,
  4384.902,    2.6477,    3.4868,    0.8480,    0.9809,    0.0637,   -0.0070,    0.8854,   66.9544,    6.8400,    1.2498,    3.9738,    0.0014,
  4385.000,    2.6403,    3.4767,    0.8471,    0.9808,    0.0637,   -0.0069,    0.8733,   66.5502,    6.8300,    1.2744,    3.9595,    0.0014,
  4385.102,    2.6332,    3.4667,    0.8463,    0.9807,    0.0637,   -0.0068,    0.8620,   66.1588,    6.8300,    1.2760,    3.9644,    0.0014,
  4385.200,    2.6260,    3.4568,    0.8454,    0.9806,    0.0637,   -0.0067,    0.8507,   65.7656,    6.8300,    1.2790,    3.9735,    0.0014,
  4385.302,    2.6187,    3.4467,    0.8446,    0.9806,    0.0637,   -0.0066,    0.8392,   65.3686,    6.8300,    1.2810,    3.9793,    0.0014,
  4385.400,    2.6116,    3.4370,    0.8436,    0.9804,    0.0637,    0.0188,    0.8351,   65.0234,    6.8203,    1.3052,    3.9650,    0.0014,
  4385.501,    2.6045,    3.4273,    0.8425,    0.9801,    0.0637,    0.0213,    0.8474,   64.7976,    6.8211,    1.3048,    3.9731,    0.0014,
  4385.602,    2.5975,    3.4185,    0.8416,    0.9801,    0.0637,    0.0149,    0.8509,   64.4232,    6.8214,    1.3062,    3.9801,    0.0014,
  4385.701,    2.5905,    3.4095,    0.8410,    0.9804,    0.0637,    0.0047,    0.8179,   63.8565,    6.8116,    1.3313,    3.9651,    0.0013,
  4385.803,    2.5834,    3.3998,    0.8402,    0.9804,    0.0637,   -0.0063,    0.8012,   63.4125,    6.8104,    1.3375,    3.9723,    0.0013,
  4385.903,    2.5764,    3.3903,    0.8393,    0.9803,    0.0637,   -0.0063,    0.7909,   63.0115,    6.8104,    1.3396,    3.9778,    0.0013,
  4386.000,    2.5695,    3.3798,    0.8381,    0.9800,    0.0637,   -0.0062,    0.7867,   62.7444,    6.8086,    1.3454,    3.9793,    0.0013,
  4386.102,    2.5625,    3.3703,    0.8372,    0.9801,    0.0637,   -0.0061,    0.7703,   62.2956,    6.8000,    1.3679,    3.9660,    0.0013,
  4386.200,    2.5556,    3.3605,    0.8362,    0.9800,    0.0637,   -0.0060,    0.7601,   61.9529,    6.8000,    1.3697,    3.9713,    0.0013,
  4386.300,    2.5487,    3.3507,    0.8351,    0.9798,    0.0637,   -0.0047,    0.7496,   61.5993,    6.8000,    1.3725,    3.9791,    0.0013,
  4386.402,    2.5419,    3.3412,    0.8340,    0.9797,    0.0637,    0.0134,    0.7460,   61.2832,    6.7911,    1.3952,    3.9628,    0.0013,
  4386.501,    2.5352,    3.3320,    0.8327,    0.9794,    0.0637,    0.0144,    0.7560,   61.0465,    6.7914,    1.3956,    3.9683,    0.0013,
