$Flow file for segment 84
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
  4384.002,   52.550,
  4384.100,   52.360,
  4384.202,   52.161,
  4384.301,   51.967,
  4384.400,   51.773,
  4384.502,   51.575,
  4384.601,   51.381,
  4384.701,   51.188,
  4384.800,   50.992,
  4384.902,   50.796,
  4385.000,   50.601,
  4385.102,   50.456,
  4385.200,   50.313,
  4385.302,   50.167,
  4385.400,   50.023,
  4385.501,   49.877,
  4385.602,   49.732,
  4385.701,   49.587,
  4385.803,   49.441,
  4385.903,   49.295,
  4386.000,   49.153,
  4386.102,   48.961,
  4386.200,   48.773,
  4386.300,   48.584,
  4386.402,   48.392,
  4386.501,   48.202,
  4386.602,   48.013,
  4386.701,   47.824,
  4386.803,   47.631,
  4386.901,   47.444,
  4387.000,   47.255,
  4387.101,   47.166,
  4387.202,   47.081,
  4387.301,   46.997,
  4387.402,   46.910,
  4387.500,   46.827,
  4387.601,   46.741,
  4387.702,   46.655,
  4387.801,   46.571,
  4387.901,   46.486,
  4388.000,   46.401,
  4388.100,   46.941,
  4388.200,   47.497,
  4388.301,   48.061,
  4388.401,   48.615,
  4388.501,   49.167,
  4388.601,   49.718,
  4388.701,   50.275,
  4388.801,   50.830,
  4388.903,   51.394,
  4389.000,   51.947,
  4389.102,   51.870,
  4389.202,   51.791,
  4389.302,   51.711,
  4389.401,   51.630,
  4389.501,   51.551,
  4389.602,   51.471,
  4389.700,   51.392,
  4389.801,   51.312,
  4389.903,   51.230,
  4390.000,   51.152,
  4390.101,   50.596,
  4390.202,   50.026,
  4390.300,   49.471,
  4390.401,   48.900,
  4390.503,   48.325,
  4390.602,   47.766,
  4390.700,   47.210,
  4390.802,   46.637,
  4390.903,   46.067,
  4391.000,   45.508,
  4391.100,   45.291,
  4391.202,   45.072,
  4391.301,   44.859,
  4391.403,   44.641,
  4391.500,   44.431,
  4391.601,   44.211,
  4391.703,   43.996,
  4391.803,   43.781,
  4391.902,   43.567,
  4392.000,   43.354,
