$GATE WITHDRAWAL AT SEG64                                    ELEV OF WITHDRAWAL CENTERLINE:300.     

JDAY,QWD(m3s-1)
  4384.002,    0.0164
  4384.100,    0.0000
  4384.202,    0.0000
  4384.301,    0.0001
  4384.400,    0.0002
  4384.502,    0.0002
  4384.601,    0.0000
  4384.701,    0.0000
  4384.800,    0.0000
  4384.902,    0.0000
  4385.000,    0.0000
  4385.102,    0.0000
  4385.200,    0.0000
  4385.302,    0.0000
  4385.400,    0.0000
  4385.501,    0.0000
  4385.602,    0.0000
  4385.701,    0.0000
  4385.803,    0.0000
  4385.903,    0.0000
  4386.000,    0.0000
  4386.102,    0.0000
  4386.200,    0.0000
  4386.300,    0.0000
  4386.402,    0.0000
  4386.501,    0.0000
  4386.602,    0.0000
  4386.701,    0.0000
  4386.803,    0.0000
  4386.901,    0.0000
  4387.000,    0.0000
  4387.101,    0.0000
  4387.202,    0.0000
  4387.301,    0.0000
  4387.402,    0.0000
  4387.500,    0.0000
  4387.601,    0.0000
  4387.702,    0.0000
  4387.801,    0.0000
  4387.901,    0.0000
  4388.000,    0.0000
  4388.100,    0.0000
  4388.200,    0.0000
  4388.301,    0.0000
  4388.401,    0.0000
  4388.501,    0.0000
  4388.601,    0.0000
  4388.701,    0.0000
  4388.801,    0.0000
  4388.903,    0.0000
  4389.000,    0.0000
  4389.102,    0.0000
  4389.202,    0.0000
  4389.302,    0.0000
  4389.401,    0.0000
  4389.501,    0.0000
  4389.602,    0.0000
  4389.700,    0.0000
  4389.801,    0.0000
  4389.903,    0.0000
  4390.000,    0.0000
  4390.101,    0.0000
  4390.202,    0.0000
  4390.300,    0.0000
  4390.401,    0.0000
  4390.503,    0.0000
  4390.602,    0.0000
  4390.700,    0.0000
  4390.802,    0.0000
  4390.903,    0.0000
  4391.000,    0.0000
  4391.100,    0.0000
  4391.202,    0.0000
  4391.301,    0.0000
  4391.403,    0.0000
  4391.500,    0.0000
  4391.601,    0.0000
  4391.703,    0.0000
  4391.803,    0.0000
  4391.902,    0.0000
  4392.000,    0.0000
  4392.103,    0.0000
  4392.200,    0.0000
  4392.301,    0.0000
  4392.401,    0.0000
  4392.502,    0.0000
  4392.600,    0.0000
  4392.700,    0.0000
  4392.802,    0.0000
  4392.902,    0.0000
  4393.000,    0.0000
  4393.101,    0.0000
  4393.202,    0.0000
  4393.300,    0.0000
  4393.400,    0.0000
  4393.501,    0.0000
  4393.603,    0.0000
  4393.702,    0.0000
  4393.801,    0.0000
  4393.902,    0.0000
  4394.000,    0.0000
  4394.101,    0.0000
  4394.201,    0.0000
  4394.302,    0.0000
  4394.400,    0.0000
  4394.500,    0.0000
  4394.603,    0.0000
