$STR WITHDRAWAL AT SEG64                                     ELEV OF WITHDRAWAL CENTERLINE:280.     

JDAY,QWD(m3s-1)
  4384.002,    4.0000
  4384.100,    4.0000
  4384.202,    4.0000
  4384.301,    4.0000
  4384.400,    4.0000
  4384.502,    4.0000
  4384.601,    4.0000
  4384.701,    4.0000
  4384.800,    4.0000
  4384.902,    4.0000
  4385.000,    4.0000
  4385.102,    4.0000
  4385.200,    4.0000
  4385.302,    4.0000
  4385.400,    4.0000
  4385.501,    4.0000
  4385.602,    4.0000
  4385.701,    4.0000
  4385.803,    4.0000
  4385.903,    4.0000
  4386.000,    4.0000
  4386.102,    4.0000
  4386.200,    4.0000
  4386.300,    4.0000
  4386.402,    4.0000
  4386.501,    4.0000
  4386.602,    4.0000
  4386.701,    4.0000
  4386.803,    4.0000
  4386.901,    4.0000
  4387.000,    4.0000
  4387.101,    4.0000
  4387.202,    4.0000
  4387.301,    4.0000
  4387.402,    4.0000
  4387.500,    4.0000
  4387.601,    4.0000
  4387.702,    4.0000
  4387.801,    4.0000
  4387.901,    4.0000
  4388.000,    4.0000
  4388.100,    4.0000
  4388.200,    4.0000
  4388.301,    4.0000
  4388.401,    4.0000
  4388.501,    4.0000
  4388.601,    4.0000
  4388.701,    4.0000
  4388.801,    4.0000
  4388.903,    4.0000
  4389.000,    4.0000
  4389.102,    4.0000
  4389.202,    4.0000
  4389.302,    4.0000
  4389.401,    4.0000
  4389.501,    4.0000
  4389.602,    4.0000
  4389.700,    4.0000
  4389.801,    4.0000
  4389.903,    4.0000
  4390.000,    4.0000
  4390.101,    4.0000
  4390.202,    4.0000
  4390.300,    4.0000
  4390.401,    4.0000
  4390.503,    4.0000
  4390.602,    4.0000
  4390.700,    4.0000
  4390.802,    4.0000
  4390.903,    4.0000
  4391.000,    4.0000
  4391.100,    4.0000
  4391.202,    4.0000
  4391.301,    4.0000
  4391.403,    4.0000
  4391.500,    4.0000
  4391.601,    4.0000
  4391.703,    4.0000
  4391.803,    4.0000
  4391.902,    4.0000
  4392.000,    4.0000
  4392.103,    4.0000
  4392.200,    4.0000
  4392.301,    4.0000
  4392.401,    4.0000
  4392.502,    4.0000
  4392.600,    4.0000
  4392.700,    4.0000
  4392.802,    4.0000
  4392.902,    4.0000
  4393.000,    4.0000
  4393.101,    4.0000
  4393.202,    4.0000
  4393.300,    4.0000
  4393.400,    4.0000
  4393.501,    4.0000
  4393.603,    4.0000
  4393.702,    4.0000
  4393.801,    4.0000
  4393.902,    4.0000
  4394.000,    4.0000
  4394.101,    4.0000
  4394.201,    4.0000
  4394.302,    4.0000
  4394.400,    4.0000
  4394.500,    4.0000
  4394.603,    4.0000
  4394.700,    4.0000
  4394.801,    4.0000
  4394.902,    4.0000
  4395.000,    4.0000
  4395.101,    4.0000
  4395.201,    4.0000
  4395.301,    4.0000
  4395.400,    4.0000
  4395.501,    4.0000
  4395.601,    4.0000
  4395.703,    4.0000
  4395.802,    4.0000
  4395.900,    4.0000
  4396.000,    4.0000
  4396.102,    4.0000
  4396.202,    4.0000
  4396.302,    4.0000
  4396.402,    4.0000
  4396.500,    4.0000
  4396.602,    4.0000
  4396.700,    4.0000
  4396.801,    4.0000
  4396.900,    4.0000
  4397.000,    4.0000
  4397.101,    4.0000
  4397.202,    4.0000
  4397.301,    4.0000
  4397.402,    4.0000
