$WITHDRAWAL AT SEG84                                         ELEV OF WITHDRAWAL CENTERLINE:292.     

JDAY,QWD(m3s-1)
  4384.002,   10.5100
  4384.100,   10.4721
  4384.202,   10.4322
  4384.301,   10.3933
  4384.400,   10.3546
  4384.502,   10.3150
  4384.601,   10.2763
  4384.701,   10.2377
  4384.800,   10.1984
  4384.902,   10.1592
  4385.000,   10.1202
  4385.102,   10.0913
  4385.200,   10.0627
  4385.302,   10.0334
  4385.400,   10.0047
  4385.501,    9.9754
  4385.602,    9.9463
  4385.701,    9.9175
  4385.803,    9.8881
  4385.903,    9.8590
  4386.000,    9.8306
  4386.102,    9.7922
  4386.200,    9.7547
  4386.300,    9.7167
  4386.402,    9.6784
  4386.501,    9.6404
  4386.602,    9.6025
  4386.701,    9.5648
  4386.803,    9.5261
  4386.901,    9.4888
  4387.000,    9.4510
  4387.101,    9.4333
  4387.202,    9.4162
  4387.301,    9.3995
  4387.402,    9.3820
  4387.500,    9.3653
  4387.601,    9.3482
  4387.702,    9.3310
  4387.801,    9.3141
  4387.901,    9.2973
  4388.000,    9.2801
  4388.100,    9.3881
  4388.200,    9.4995
  4388.301,    9.6122
  4388.401,    9.7229
  4388.501,    9.8333
  4388.601,    9.9436
  4388.701,   10.0550
  4388.801,   10.1660
  4388.903,   10.2788
  4389.000,   10.3895
  4389.102,   10.3741
  4389.202,   10.3582
  4389.302,   10.3422
  4389.401,   10.3260
  4389.501,   10.3103
  4389.602,   10.2941
  4389.700,   10.2784
  4389.801,   10.2623
  4389.903,   10.2460
  4390.000,   10.2304
  4390.101,   10.1192
  4390.202,   10.0053
  4390.300,    9.8941
  4390.401,    9.7800
  4390.503,    9.6650
  4390.602,    9.5531
  4390.700,    9.4420
  4390.802,    9.3274
  4390.903,    9.2134
  4391.000,    9.1016
  4391.100,    9.0583
  4391.202,    9.0145
  4391.301,    8.9719
  4391.403,    8.9282
  4391.500,    8.8862
  4391.601,    8.8423
  4391.703,    8.7993
  4391.803,    8.7562
  4391.902,    8.7135
  4392.000,    8.6709
  4392.103,    8.6341
  4392.200,    8.5984
  4392.301,    8.5622
  4392.401,    8.5266
  4392.502,    8.4901
  4392.600,    8.4545
  4392.700,    8.4191
  4392.802,    8.3824
  4392.902,    8.3463
  4393.000,    8.3106
  4393.101,    8.2871
  4393.202,    8.2640
  4393.300,    8.2417
  4393.400,    8.2184
  4393.501,    8.1952
  4393.603,    8.1720
  4393.702,    8.1495
  4393.801,    8.1261
  4393.902,    8.1033
  4394.000,    8.0800
  4394.101,    8.0612
  4394.201,    8.0422
  4394.302,    8.0232
  4394.400,    8.0043
  4394.500,    7.9853
  4394.603,    7.9661
  4394.700,    7.9476
  4394.801,    7.9284
  4394.902,    7.9093
  4395.000,    7.8902
  4395.101,    7.8704
  4395.201,    7.8503
  4395.301,    7.8303
  4395.400,    7.8104
  4395.501,    7.7901
  4395.601,    7.7705
  4395.703,    7.7501
  4395.802,    7.7304
  4395.900,    7.7104
  4396.000,    7.6903
  4396.102,    7.6653
  4396.202,    7.6402
  4396.302,    7.6151
  4396.402,    7.5903
  4396.500,    7.5654
  4396.602,    7.5403
  4396.700,    7.5158
  4396.801,    7.4906
  4396.900,    7.4654
  4397.000,    7.4402
  4397.101,    7.4371
  4397.202,    7.4340
  4397.301,    7.4311
  4397.402,    7.4281
  4397.503,    7.4250
  4397.601,    7.4221
  4397.704,    7.4190
  4397.802,    7.4160
  4397.901,    7.4130
  4398.000,    7.4100
  4398.101,    7.3993
  4398.200,    7.3883
  4398.302,    7.3772
  4398.400,    7.3663
  4398.501,    7.3552
  4398.601,    7.3443
  4398.703,    7.3331
  4398.802,    7.3222
  4398.900,    7.3113
  4399.000,    7.3002
  4399.102,    7.2616
  4399.201,    7.2231
  4399.304,    7.1831
  4399.401,    7.1448
  4399.502,    7.1054
  4399.600,    7.0673
  4399.702,    7.0275
  4399.800,    6.9893
  4399.902,    6.9493
  4400.000,    6.9113
  4400.100,    6.8946
  4400.202,    6.8783
  4400.301,    6.8625
  4400.401,    6.8461
  4400.502,    6.8300
  4400.602,    6.8143
  4400.701,    6.7983
  4400.802,    6.7823
  4400.902,    6.7662
  4401.000,    6.7502
  4401.100,    6.7310
  4401.203,    6.7122
  4401.302,    6.6932
  4401.401,    6.6742
  4401.501,    6.6554
  4401.600,    6.6362
  4401.702,    6.6173
  4401.800,    6.5986
  4401.902,    6.5791
  4402.000,    6.5601
  4402.103,    6.5451
  4402.201,    6.5304
  4402.301,    6.5154
  4402.402,    6.5000
  4402.500,    6.4854
  4402.600,    6.4703
  4402.700,    6.4554
  4402.800,    6.4405
  4402.901,    6.4252
  4403.000,    6.4101
  4403.102,    6.4031
  4403.203,    6.3960
  4403.303,    6.3891
  4403.402,    6.3821
  4403.501,    6.3751
  4403.600,    6.3682
  4403.703,    6.3610
  4403.802,    6.3540
  4403.901,    6.3471
  4404.000,    6.3400
  4404.102,    6.3253
  4404.203,    6.3102
  4404.302,    6.2952
  4404.401,    6.2803
  4404.502,    6.2653
  4404.600,    6.2504
  4404.702,    6.2353
  4404.802,    6.2201
  4404.902,    6.2051
  4405.000,    6.1901
  4405.103,    6.1810
  4405.201,    6.1723
  4405.304,    6.1630
  4405.402,    6.1542
  4405.501,    6.1451
  4405.602,    6.1362
  4405.703,    6.1271
  4405.803,    6.1181
  4405.902,    6.1092
  4406.000,    6.1003
  4406.102,    6.0833
  4406.204,    6.0660
  4406.302,    6.0491
  4406.401,    6.0324
  4406.502,    6.0150
  4406.601,    5.9983
  4406.703,    5.9811
  4406.801,    5.9642
  4406.903,    5.9470
  4407.000,    5.9305
  4407.101,    5.9184
  4407.200,    5.9064
  4407.304,    5.8940
  4407.402,    5.8821
  4407.501,    5.8701
  4407.602,    5.8582
  4407.702,    5.8461
  4407.801,    5.8341
  4407.900,    5.8224
  4408.000,    5.8103
  4408.102,    5.7953
  4408.200,    5.7804
  4408.302,    5.7652
  4408.403,    5.7500
  4408.501,    5.7351
  4408.601,    5.7204
  4408.701,    5.7053
  4408.802,    5.6901
  4408.902,    5.6752
  4409.000,    5.6605
  4409.100,    5.6532
  4409.202,    5.6461
  4409.303,    5.6390
  4409.400,    5.6321
  4409.501,    5.6251
  4409.602,    5.6181
  4409.701,    5.6112
  4409.801,    5.6042
  4409.901,    5.5971
  4410.000,    5.5901
